param_set,method,estimation_time,fitting_time,fit_success,param_success,fit_message,fit_nfev,true_frequency,true_phase,true_position,true_width,initial_frequency,initial_phase,initial_position,initial_width,fitted_frequency,fitted_phase,fitted_position,fitted_width,error_frequency,error_phase,error_position,error_width
13,ZeroGuess + lmfit (least_squares),0.0011451244354248047,0.006429195404052734,True,True,`ftol` termination condition is satisfied.,35,0.5693747653761156,1.1614747989246739,14.695846277645586,2.347885187747232,0.5649774670600891,0.9458946585655212,14.78272533416748,2.401646852493286,0.5694385262702459,1.175475108079797,14.695521080358935,2.31767854896891,0.00011198405339965262,0.0022282184068525535,2.2128517167862363e-05,0.012865466734046448
13,True + lmfit (least_squares),0.0004241466522216797,0.005003690719604492,True,True,`ftol` termination condition is satisfied.,25,0.5693747653761156,1.1614747989246739,14.695846277645586,2.347885187747232,0.5693747653761156,1.1614747989246739,14.695846277645586,2.347885187747232,0.5694385356927631,1.175475489543926,14.695521187888716,2.3176790509914693,0.00011200060228412013,0.0022282791187543238,2.212120014925699e-05,0.01286525291500532
13,Standard lmfit (dual_annealing),0.00042247772216796875,0.7794167995452881,True,False,['Maximum number of iteration reached'],8326,0.5693747653761156,1.1614747989246739,14.695846277645586,2.347885187747232,0.525,3.141592653589793,10.0,1.55,0.569593761360079,6.283185307179586,14.369388023191782,2.3183349965897135,0.00038462537730960244,0.18485445552552707,0.022214321535901783,0.012585875711355258
13,ZeroGuess + lmfit (dual_annealing),0.0011112689971923828,0.8132703304290771,True,True,['Maximum number of iteration reached'],8481,0.5693747653761156,1.1614747989246739,14.695846277645586,2.347885187747232,0.5649774670600891,0.9458946585655212,14.78272533416748,2.401646852493286,0.5694385268704337,1.1754742498822937,14.695520829799646,2.3176793922647083,0.0001119851075169491,0.0022280818204777567,2.2145566835104295e-05,0.012865107561543923
13,True + lmfit (dual_annealing),0.0004050731658935547,0.7542436122894287,True,True,['Maximum number of iteration reached'],8151,0.5693747653761156,1.1614747989246739,14.695846277645586,2.347885187747232,0.5693747653761156,1.1614747989246739,14.695846277645586,2.347885187747232,0.569438459029446,1.175472721489005,14.695520467700227,2.3176778433471146,0.00011186595754430924,0.002227838569130888,2.2170206410944465e-05,0.012865767269097692
14,Standard lmfit (least_squares),0.0004115104675292969,0.018926382064819336,True,False,`ftol` termination condition is satisfied.,141,0.9425239944859797,5.622366060669442,10.978999788110851,2.7734352815670387,0.525,3.141592653589793,10.0,1.55,0.9432520991781955,1.784623194739725e-11,11.088823303908947,2.776075616272721,0.0007725052056769449,0.10517264957519142,0.010003052911707314,0.0009520087680540439
14,ZeroGuess + lmfit (least_squares),0.0011196136474609375,0.01001882553100586,True,False,Both `ftol` and `xtol` termination conditions are satisfied.,60,0.9425239944859797,5.622366060669442,10.978999788110851,2.7734352815670387,0.9381858110427856,2.184488534927368,11.159466743469238,2.5065836906433105,0.943252095280473,5.740020280017707e-15,11.088823308523956,2.776075748415576,0.0007725010702676599,0.10517264957235196,0.010003053332056063,0.000952056413966591
14,True + lmfit (least_squares),0.0004036426544189453,0.005007028579711914,True,True,`ftol` termination condition is satisfied.,25,0.9425239944859797,5.622366060669442,10.978999788110851,2.7734352815670387,0.9425239944859797,5.622366060669442,10.978999788110851,2.7734352815670387,0.9432611714682514,5.384196736777832,10.937421343973766,2.7752955052539026,0.0007821307325695677,0.03790582519020446,0.003787088527145335,0.0006707290771223026
14,Standard lmfit (dual_annealing),0.0003943443298339844,0.8580207824707031,True,True,['Maximum number of iteration reached'],8596,0.9425239944859797,5.622366060669442,10.978999788110851,2.7734352815670387,0.525,3.141592653589793,10.0,1.55,0.9432611645412883,5.384180378154449,10.937418585029944,2.7752954918871735,0.0007821233831936847,0.037908428745978044,0.0037873398199657275,0.0006707242575654354
14,ZeroGuess + lmfit (dual_annealing),0.0011408329010009766,0.8112728595733643,True,True,['Maximum number of iteration reached'],8526,0.9425239944859797,5.622366060669442,10.978999788110851,2.7734352815670387,0.9381858110427856,2.184488534927368,11.159466743469238,2.5065836906433105,0.943261162335007,5.384185752841641,10.937419530543645,2.775296575894538,0.0007821210423712954,0.03790757333794383,0.0037872536997617602,0.0006711151112376016
14,True + lmfit (dual_annealing),0.0003914833068847656,0.7830462455749512,True,True,['Maximum number of iteration reached'],8291,0.9425239944859797,5.622366060669442,10.978999788110851,2.7734352815670387,0.9425239944859797,5.622366060669442,10.978999788110851,2.7734352815670387,0.9432611842784027,5.38417330042821,10.937417384860908,2.775295213053046,0.0007821443238959934,0.03790955520109481,0.003787449134936063,0.0006706237201095243
15,Standard lmfit (least_squares),0.00044798851013183594,0.012101888656616211,True,False,`ftol` termination condition is satisfied.,85,0.13406787694932354,1.2313966416109714,5.45227288910538,1.0434579592134665,0.525,3.141592653589793,10.0,1.55,0.050000047275759456,3.104389228829974,9.83423926681498,0.1695622739532487,0.6270542324269144,0.29809602863038215,0.803695351798248,0.8374996592281871
15,ZeroGuess + lmfit (least_squares),0.0011131763458251953,0.0070993900299072266,True,True,`ftol` termination condition is satisfied.,35,0.13406787694932354,1.2313966416109714,5.45227288910538,1.0434579592134665,0.13055282831192017,1.4302685260772705,5.383927345275879,1.0837873220443726,0.13807858123284442,1.203720077190315,5.458569745912021,1.0453726707553246,0.029915475464990675,0.004404862035348756,0.001154904924003869,0.0018349675949583396
15,True + lmfit (least_squares),0.0003974437713623047,0.005640745162963867,True,True,`ftol` termination condition is satisfied.,30,0.13406787694932354,1.2313966416109714,5.45227288910538,1.0434579592134665,0.13406787694932354,1.2313966416109714,5.45227288910538,1.0434579592134665,0.1380790843311871,1.2037271574942274,5.4585736577404615,1.0453745435782194,0.02991922802939408,0.004403735169982489,0.0011556223914748287,0.0018367624184854683
