param_set,method,estimation_time,fitting_time,fit_success,param_success,fit_message,fit_nfev,true_amplitude1,true_center1,true_width1,true_amplitude2,true_center2,true_width2,initial_amplitude1,initial_center1,initial_width1,initial_amplitude2,initial_center2,initial_width2,fitted_amplitude1,fitted_center1,fitted_width1,fitted_amplitude2,fitted_center2,fitted_width2,error_amplitude1,error_center1,error_width1,error_amplitude2,error_center2,error_width2
41,ZeroGuess + lmfit (dual_annealing),0.001188516616821289,1.107992172241211,True,True,['Maximum number of iteration reached'],12281,3.7645711325288995,-4.845433834711326,1.8638052689166782,9.410539985093852,4.539285770025874,1.8382423414188522,7.341748237609863,4.457196235656738,1.8291274309158325,3.722149133682251,-3.955108165740967,1.7449432611465454,3.7633691634433184,-4.8225274313007835,1.860649772209959,9.395311645613583,4.534552356863417,1.8390201064279452,0.0003192844664814938,0.004727420534864627,0.0016930399110596005,0.0016182216434327693,0.0010427660654706988,0.0004231025428848897
41,True + lmfit (dual_annealing),0.0004992485046386719,1.1062417030334473,True,True,['Maximum number of iteration reached'],12176,3.7645711325288995,-4.845433834711326,1.8638052689166782,9.410539985093852,4.539285770025874,1.8382423414188522,3.7645711325288995,-4.845433834711326,1.8638052689166782,9.410539985093852,4.539285770025874,1.8382423414188522,3.763372581185528,-4.822528216053634,1.8606470270208184,9.395313308244917,4.534552034179699,1.8390203440359887,0.0003183765962117157,0.0047272585776742026,0.0016945128058874328,0.0016180449658630893,0.001042837152362848,0.000423231801164992
42,Standard lmfit (least_squares),0.0004742145538330078,0.021715402603149414,True,True,`ftol` termination condition is satisfied.,176,8.544793609126865,-2.055511079304143,0.831685684343658,4.339023068341412,4.666548190436696,1.9308779564695804,5.05,0.0,1.05,5.05,0.0,1.05,8.520217201677571,-2.0582766955372334,0.8345557839859643,4.355573854440923,4.660199305223982,1.9327952328409037,0.0028761850283947196,0.001345464036139719,0.003450942701474215,0.0038144038044577284,0.0013605099430293412,0.000992955750983288
42,ZeroGuess + lmfit (least_squares),0.0012059211730957031,0.00974273681640625,True,True,Both `ftol` and `xtol` termination conditions are satisfied.,70,8.544793609126865,-2.055511079304143,0.831685684343658,4.339023068341412,4.666548190436696,1.9308779564695804,7.205790996551514,-0.7838802337646484,0.9131961464881897,4.122314929962158,3.357074737548828,1.782986044883728,8.520217201144765,-2.0582766953442264,0.8345557842088903,4.355573858551802,4.660199303721988,1.932795229302633,0.002876185090749157,0.0013454639422424174,0.003450942969515393,0.003814404751878077,0.0013605102648931978,0.0009929539185159508
42,True + lmfit (least_squares),0.0004973411560058594,0.0052454471588134766,True,True,`ftol` termination condition is satisfied.,28,8.544793609126865,-2.055511079304143,0.831685684343658,4.339023068341412,4.666548190436696,1.9308779564695804,8.544793609126865,-2.055511079304143,0.831685684343658,4.339023068341412,4.666548190436696,1.9308779564695804,8.52021719658533,-2.058276693579306,0.834555786282745,4.3555739144012815,4.6601992788811515,1.9327951793712033,0.002876185624341389,0.0013454630836140073,0.0034509454630711712,0.0038144176233191433,0.001360515588064829,0.000992928059072328
42,Standard lmfit (dual_annealing),0.00048804283142089844,1.0900704860687256,True,True,['Maximum number of iteration reached'],12134,8.544793609126865,-2.055511079304143,0.831685684343658,4.339023068341412,4.666548190436696,1.9308779564695804,5.05,0.0,1.05,5.05,0.0,1.05,8.520215259479937,-2.0582768902408275,0.8345559395793795,4.35557386026466,4.660199011716271,1.9327956686368968,0.0028764123244212313,0.001345558758856661,0.003451129783466945,0.0038144051466347476,0.001360572839135543,0.0009931814493458438
42,ZeroGuess + lmfit (dual_annealing),0.001180410385131836,1.0921683311462402,True,True,['Maximum number of iteration reached'],12148,8.544793609126865,-2.055511079304143,0.831685684343658,4.339023068341412,4.666548190436696,1.9308779564695804,7.205790996551514,-0.7838802337646484,0.9131961464881897,4.122314929962158,3.357074737548828,1.782986044883728,8.520217047620445,-2.058276699910941,0.8345558063507933,4.355573788389425,4.66019934066834,1.9327952552758103,0.0028762030577507477,0.0013454661639354104,0.003450969592437243,0.0038143885817920353,0.0013605023476168194,0.0009929673700017371
42,True + lmfit (dual_annealing),0.0005009174346923828,1.102778434753418,True,True,['Maximum number of iteration reached'],12169,8.544793609126865,-2.055511079304143,0.831685684343658,4.339023068341412,4.666548190436696,1.9308779564695804,8.544793609126865,-2.055511079304143,0.831685684343658,4.339023068341412,4.666548190436696,1.9308779564695804,8.520217139113003,-2.0582766393046223,0.8345555506389687,4.3555752058589485,4.6601994516352585,1.9327931785597745,0.0028761923503467174,0.0013454366791424358,0.003450662130340182,0.003814715261208292,0.0013604785683877635,0.0009918918405883708
43,Standard lmfit (least_squares),0.0004763603210449219,0.05036211013793945,True,False,`ftol` termination condition is satisfied.,466,8.526253048016883,-1.8307799484372236,0.42203621870357577,5.612332498337667,4.36154774160781,1.4224566136824488,5.05,0.0,1.05,5.05,0.0,1.05,0.26144726145798625,-2.447934597291321,0.10003643123639537,8.548322075803522,-1.8264582264475273,0.4182430964243214,0.9693362066565927,0.3370993053430087,0.7629671890633215,0.5231317956189294,1.4187637817244745,0.70597128066945
43,ZeroGuess + lmfit (least_squares),0.001203298568725586,0.00890040397644043,True,True,`ftol` termination condition is satisfied.,63,8.526253048016883,-1.8307799484372236,0.42203621870357577,5.612332498337667,4.36154774160781,1.4224566136824488,8.768914222717285,-2.2950305938720703,0.3162924349308014,5.678999423980713,4.389922142028809,1.6086742877960205,8.534190952893745,-1.830738355190537,0.42246614808764676,5.623083425092859,4.358378903535139,1.422365156775932,0.0009309956943757136,2.2718867290482682e-05,0.0010187025781618069,0.001915589776332167,0.0007265398111869102,6.429504115429127e-05
