param_set,method,estimation_time,fitting_time,fit_success,param_success,fit_message,fit_nfev,true_amplitude1,true_center1,true_width1,true_amplitude2,true_center2,true_width2,initial_amplitude1,initial_center1,initial_width1,initial_amplitude2,initial_center2,initial_width2,fitted_amplitude1,fitted_center1,fitted_width1,fitted_amplitude2,fitted_center2,fitted_width2,error_amplitude1,error_center1,error_width1,error_amplitude2,error_center2,error_width2
4,ZeroGuess + lmfit (dual_annealing),0.0011799335479736328,1.2086296081542969,True,False,['Maximum number of iteration reached'],12799,4.376255684556946,-2.0877085980195806,1.262520499972521,1.4809892204552142,-2.0785535146478185,0.7960875022580142,3.3850185871124268,-1.9598331451416016,1.068008542060852,2.1983535289764404,-0.9249563217163086,0.9400667548179626,5.010600267164029,-2.084128415141365,1.214016130033949,0.849244001629408,-2.068039901494356,0.6571086910855105,0.14495144441527402,0.0017148863024331043,0.038418679094420885,0.42656976168376537,0.005058139268184321,0.17457730560812176
4,True + lmfit (dual_annealing),0.0004930496215820312,1.1106112003326416,True,False,['Maximum number of iteration reached'],12239,4.376255684556946,-2.0877085980195806,1.262520499972521,1.4809892204552142,-2.0785535146478185,0.7960875022580142,4.376255684556946,-2.0877085980195806,1.262520499972521,1.4809892204552142,-2.0785535146478185,0.7960875022580142,5.752545567610513,-2.0816222956159827,1.1450795737112875,0.1,4.380906464765455,0.15172141194774105,0.3144902817059473,0.0029153026477792437,0.09302100541241873,0.9324775639020094,3.107670759445295,0.8094161615181747
5,Standard lmfit (least_squares),0.0005276203155517578,0.022597551345825195,True,True,`ftol` termination condition is satisfied.,191,5.190920940294755,0.9241456886204249,0.18825578416799568,4.615092843748656,2.8517596139301364,0.4793801861008835,5.05,0.0,1.05,5.05,0.0,1.05,5.139689490890112,0.9236732087704933,0.18864074036338607,4.6413549963033045,2.850593742929475,0.47995698786922764,0.009869433573329244,0.000511261217521794,0.0020448571983682742,0.005690492790458626,0.00040882513202243414,0.0012032240486108468
5,ZeroGuess + lmfit (least_squares),0.0011897087097167969,0.008925676345825195,True,True,`ftol` termination condition is satisfied.,63,5.190920940294755,0.9241456886204249,0.18825578416799568,4.615092843748656,2.8517596139301364,0.4793801861008835,1.970729947090149,0.7328948974609375,0.3677625358104706,6.857545852661133,3.0729904174804688,0.5178870558738708,5.139689588674175,0.9236732073424669,0.18864073311357288,4.641354981094648,2.850593743622651,0.4799569910646795,0.009869414735812019,0.0005112627627612313,0.002044818687927672,0.005690489495041378,0.00040882488895294973,0.0012032307144096016
5,True + lmfit (least_squares),0.0004949569702148438,0.005307435989379883,True,True,`ftol` termination condition is satisfied.,28,5.190920940294755,0.9241456886204249,0.18825578416799568,4.615092843748656,2.8517596139301364,0.4793801861008835,5.190920940294755,0.9241456886204249,0.18825578416799568,4.615092843748656,2.8517596139301364,0.4793801861008835,5.139689588058122,0.9236732072963146,0.18864073309118115,4.641354944490788,2.8505937458688635,0.47995699866059954,0.009869414854490957,0.0005112628127017382,0.0020448185689845677,0.005690481563703564,0.00040882410129450253,0.0012032465597037539
5,Standard lmfit (dual_annealing),0.0005562305450439453,1.1281864643096924,True,True,['Maximum number of iteration reached'],12414,5.190920940294755,0.9241456886204249,0.18825578416799568,4.615092843748656,2.8517596139301364,0.4793801861008835,5.05,0.0,1.05,5.05,0.0,1.05,5.139690632319327,0.9236731776803829,0.188640725309283,4.6413550257896565,2.85059377353045,0.47995698333668674,0.009869213683789742,0.0005112948595230043,0.002044777232150281,0.005690499179572133,0.000408814401463486,0.001203214593608263
5,ZeroGuess + lmfit (dual_annealing),0.001196146011352539,1.2578706741333008,True,True,['Maximum number of iteration reached'],12295,5.190920940294755,0.9241456886204249,0.18825578416799568,4.615092843748656,2.8517596139301364,0.4793801861008835,1.970729947090149,0.7328948974609375,0.3677625358104706,6.857545852661133,3.0729904174804688,0.5178870558738708,5.139690607996921,0.9236732108871771,0.18864070065013439,4.641355600983229,2.850593722575378,0.4799569528013442,0.009869218369356444,0.0005112589270995649,0.0020446462446817104,0.0056906238127251915,0.0004088322694042019,0.0012031508960600173
5,True + lmfit (dual_annealing),0.0005662441253662109,1.1693410873413086,True,True,['Maximum number of iteration reached'],12659,5.190920940294755,0.9241456886204249,0.18825578416799568,4.615092843748656,2.8517596139301364,0.4793801861008835,5.190920940294755,0.9241456886204249,0.18825578416799568,4.615092843748656,2.8517596139301364,0.4793801861008835,5.139689848958612,0.9236731618420111,0.18864075524288634,4.641355152315335,2.850593612616648,0.4799569552408292,0.00986936459356565,0.0005113119979158262,0.0020449362371098277,0.0056905265952023505,0.00040887082760861156,0.001203155984891541
6,Standard lmfit (least_squares),0.0005164146423339844,0.054595232009887695,True,True,`ftol` termination condition is satisfied.,517,6.1146940338242395,-3.294758763127085,0.22359802667203107,9.493966818808,4.656320330745594,1.6359549614212763,5.05,0.0,1.05,5.05,0.0,1.05,6.146987780911126,-3.2931508849537554,0.22163306142477282,9.486786472226672,4.6619659551443675,1.635884083090933,0.005281334913611305,0.00048801089515988506,0.008787936443376687,0.0007563062646377223,0.0012124647785711755,4.332535553532777e-05
6,ZeroGuess + lmfit (least_squares),0.001180887222290039,0.009576797485351562,True,True,`ftol` termination condition is satisfied.,70,6.1146940338242395,-3.294758763127085,0.22359802667203107,9.493966818808,4.656320330745594,1.6359549614212763,2.1765365600585938,-2.6531407833099365,0.6368942260742188,9.013586044311523,4.697336196899414,1.8001933097839355,6.146987811691821,-3.293150885445406,0.2216330592038082,9.486786472150442,4.661965955134112,1.6358840831104164,0.005281339947500862,0.00048801074593781584,0.00878794637622198,0.0007563062726670928,0.0012124647763686216,4.332534362575424e-05
